리뷰ID,상품명,옵션명,별점,작성일,리뷰내용
DEMO-0118,크롭 반팔 티셔츠,아이보리 / S,5,2026-05-24,원단은 좋은데 아이보리는 비침이 조금 있습니다. 포장은 깔끔했습니다.
DEMO-0286,베이직 롱 원피스,브라운 / M,4,2026-05-24,핏이 예쁘고 허리선이 자연스럽게 잡혀요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0226,루즈핏 후드 집업,네이비 / L,4,2026-05-24,넉넉하게 입기 좋고 후드 모양도 잘 잡혀요. 데일리로 입기 괜찮습니다.
DEMO-0249,루즈핏 후드 집업,멜란지 / M,4,2026-05-24,품이 넉넉해서 레이어드하기 편해요. 데일리로 입기 괜찮습니다.
DEMO-0341,경량 숏패딩,카키 / L,4,2026-05-24,핏은 예쁜데 마감 실밥이 조금 보여요.
DEMO-0349,경량 숏패딩,카키 / L,3,2026-05-24,옷은 마음에 드는데 지퍼 부분 검수가 필요해 보여요. 다음에도 살 것 같아요.
DEMO-0125,크롭 반팔 티셔츠,아이보리 / M,4,2026-05-23,디자인은 예쁜데 핑크가 사진보다 진하게 느껴져요. 배송은 빨랐어요.
DEMO-0293,베이직 롱 원피스,카키 / M,5,2026-05-23,가격대비 만족합니다. 출근룩으로 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0348,경량 숏패딩,그레이 / M,3,2026-05-23,보온성은 좋은데 포장이 조금 눌려서 왔어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0182,하이웨스트 데님 팬츠,중청 / M,5,2026-05-22,색감이 예쁘고 데일리로 입기 좋습니다. 배송은 빨랐어요.
DEMO-0137,세미오버핏 니트 가디건,크림 / M,5,2026-05-22,세미오버핏이라 여리여리하게 떨어져요. 배송은 빨랐어요.
DEMO-0294,베이직 롱 원피스,블랙 / M,5,2026-05-22,비침이 거의 없고 촉감도 괜찮아요.
DEMO-0260,루즈핏 후드 집업,멜란지 / L,5,2026-05-22,"넉넉한 핏 좋아하면 추천, 아니면 작게 가는 게 나을 것 같아요. 데일리로 입기 괜찮습니다."
DEMO-0213,하이웨스트 데님 팬츠,연청 / S,5,2026-05-21,다리 라인은 예쁜데 허벅지가 타이트해서 사이즈 업 추천해요. 배송은 빨랐어요.
DEMO-0006,데일리 와이드 슬랙스,네이비 / L,5,2026-05-21,가격대비 만족해요. 재구매 의사 있습니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0344,경량 숏패딩,그레이 / M,4,2026-05-21,가볍고 좋은데 소매 마감이 살짝 아쉽습니다.
DEMO-0095,크롭 반팔 티셔츠,핑크 / M,5,2026-05-20,가격 대비 괜찮은 기본 티셔츠예요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0128,크롭 반팔 티셔츠,아이보리 / M,1,2026-05-20,사진보다 색이 훨씬 어두워서 당황했어요.
DEMO-0082,썸머 린넨 셔츠,화이트 / M,4,2026-05-20,시원하긴 한데 구김이 잘 가는 편이에요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0151,세미오버핏 니트 가디건,그레이 / M,5,2026-05-20,색감이 고급스럽고 사진이랑 거의 비슷했어요.
DEMO-0303,베이직 롱 원피스,브라운 / M,5,2026-05-20,핏은 마음에 드는데 계단 오를 때 기장이 조금 신경 쓰여요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0357,경량 숏패딩,아이보리 / M,1,2026-05-20,지퍼가 자꾸 걸려서 입고 벗을 때 불편해요.
DEMO-0354,경량 숏패딩,아이보리 / M,1,2026-05-20,한쪽 봉제선 마감이 삐뚤어서 교환 고민했습니다.
DEMO-0120,크롭 반팔 티셔츠,핑크 / M,4,2026-05-19,핏은 만족인데 컬러가 기대랑 달라서 아쉬워요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0134,크롭 반팔 티셔츠,민트 / M,3,2026-05-19,크롭 기장이라 취향 탈 수 있어요. 데일리로 입기 괜찮습니다.
DEMO-0088,썸머 린넨 셔츠,네이비 / L,1,2026-05-19,구김이 너무 잘 생겨서 관리가 번거롭습니다.
DEMO-0281,베이직 롱 원피스,카키 / M,5,2026-05-19,가격대비 만족합니다. 출근룩으로 좋아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0021,데일리 와이드 슬랙스,네이비 / L,5,2026-05-19,색감이 차분해서 여러 상의랑 잘 어울려요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0346,경량 숏패딩,카키 / L,5,2026-05-19,가볍고 따뜻한데 지퍼가 가끔 걸려요.
DEMO-0334,경량 숏패딩,그레이 / M,4,2026-05-19,가벼운데 생각보다 따뜻해서 만족해요. 다음에도 살 것 같아요.
DEMO-0352,경량 숏패딩,그레이 / M,3,2026-05-19,가볍고 따뜻한데 지퍼가 가끔 걸려요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0248,루즈핏 후드 집업,블랙 / M,5,2026-05-18,가격 대비 퀄리티 좋아요. 상세페이지를 꼭 보고 사세요.
DEMO-0117,크롭 반팔 티셔츠,블랙 / L,3,2026-05-17,기장은 마음에 드는데 민트 색이 생각보다 탁해요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0131,크롭 반팔 티셔츠,블랙 / L,1,2026-05-17,색상 차이가 커서 교환 고민했습니다.
DEMO-0068,썸머 린넨 셔츠,화이트 / M,5,2026-05-17,통기성이 좋아서 더운 날에도 답답하지 않았어요.
DEMO-0295,베이직 롱 원피스,블랙 / S,2,2026-05-17,디자인은 예쁜데 기장이 생각보다 길어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0270,루즈핏 후드 집업,멜란지 / M,4,2026-05-17,넉넉한 후드 집업이에요. 체형에 따라 크게 느껴질 수 있습니다. 다음에도 살 것 같아요.
DEMO-0026,데일리 와이드 슬랙스,베이지 / M,3,2026-05-17,전체적으로 만족하는데 기장이 조금 길어서 수선했어요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0358,경량 숏패딩,아이보리 / M,1,2026-05-17,한쪽 봉제선 마감이 삐뚤어서 교환 고민했습니다.
DEMO-0094,크롭 반팔 티셔츠,아이보리 / S,5,2026-05-16,소재가 부드럽고 피부에 까슬거리지 않아요. 배송은 빨랐어요.
DEMO-0093,크롭 반팔 티셔츠,아이보리 / M,5,2026-05-16,목 늘어짐이 적어 보여서 좋습니다. 배송은 빨랐어요.
DEMO-0107,크롭 반팔 티셔츠,아이보리 / S,5,2026-05-16,가격 대비 괜찮은 기본 티셔츠예요. 포장은 깔끔했습니다.
DEMO-0108,크롭 반팔 티셔츠,아이보리 / S,4,2026-05-16,팔 기장이 너무 짧지 않아서 부담 없이 입기 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0158,세미오버핏 니트 가디건,브라운 / L,4,2026-05-16,가격은 좀 있지만 촉감이 좋아서 만족합니다. 배송은 빨랐어요.
DEMO-0090,썸머 린넨 셔츠,베이지 / M,3,2026-05-15,얇고 가벼운 편입니다. 이너는 챙기는 게 좋아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0179,세미오버핏 니트 가디건,크림 / M,3,2026-05-15,니트라 보풀은 어느 정도 감안해야 할 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0291,베이직 롱 원피스,네이비 / L,5,2026-05-15,디자인이 심플해서 자주 손이 갈 것 같아요.
DEMO-0266,루즈핏 후드 집업,블랙 / M,2,2026-05-15,세탁 후 밑단이 조금 울었어요.
DEMO-0345,경량 숏패딩,블랙 / M,4,2026-05-15,배송은 빨랐는데 비닐 포장이 조금 약했어요. 다음에도 살 것 같아요.
DEMO-0347,경량 숏패딩,카키 / L,4,2026-05-15,핏은 예쁜데 마감 실밥이 조금 보여요. 배송은 빨랐어요.
DEMO-0209,하이웨스트 데님 팬츠,블랙 / L,3,2026-05-14,입으면 예쁜데 처음엔 너무 타이트해서 불편했어요. 배송은 빨랐어요.
DEMO-0239,루즈핏 후드 집업,블랙 / M,4,2026-05-14,두께감이 적당해서 아침저녁에 걸치기 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0039,데일리 와이드 슬랙스,네이비 / L,3,2026-05-14,기장이 너무 길어서 바로 입기는 힘들었어요.
DEMO-0052,썸머 린넨 셔츠,화이트 / L,5,2026-05-13,생각보다 고급스러운 느낌이라 자주 입을 것 같아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0275,베이직 롱 원피스,네이비 / L,4,2026-05-13,가격대비 만족합니다. 출근룩으로 좋아요. 다음에도 살 것 같아요.
DEMO-0227,루즈핏 후드 집업,크림 / M,5,2026-05-13,두께감이 적당해서 아침저녁에 걸치기 좋아요. 포장은 깔끔했습니다.
DEMO-0071,썸머 린넨 셔츠,스카이블루 / M,5,2026-05-12,핏은 좋은데 화이트는 비침이 좀 있어요. 이너 필수입니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0267,루즈핏 후드 집업,블랙 / M,2,2026-05-12,생각보다 너무 커서 옷에 파묻히는 느낌이에요.
DEMO-0003,데일리 와이드 슬랙스,블랙 / M,5,2026-05-12,기본 슬랙스로 딱이에요. 셔츠랑 입으면 깔끔합니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0168,세미오버핏 니트 가디건,브라운 / L,3,2026-05-11,소재감은 좋은데 소매 부분 보풀이 빨리 올라와요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0176,세미오버핏 니트 가디건,그레이 / M,2,2026-05-11,마감 실밥이 보여서 품질 검수가 필요해 보여요.
DEMO-0196,하이웨스트 데님 팬츠,중청 / M,4,2026-05-10,라인이 예쁘고 다리가 길어 보여요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0276,베이직 롱 원피스,브라운 / M,5,2026-05-10,비침이 거의 없고 촉감도 괜찮아요. 상세페이지를 꼭 보고 사세요.
DEMO-0264,루즈핏 후드 집업,멜란지 / M,1,2026-05-10,소매가 길고 품이 커서 제 체형에는 안 맞았어요.
DEMO-0032,데일리 와이드 슬랙스,네이비 / L,2,2026-05-10,전체적으로 만족하는데 기장이 조금 길어서 수선했어요. 상세페이지를 꼭 보고 사세요.
DEMO-0114,크롭 반팔 티셔츠,핑크 / M,5,2026-05-09,팔 기장이 너무 짧지 않아서 부담 없이 입기 좋아요. 다음에도 살 것 같아요.
DEMO-0048,썸머 린넨 셔츠,화이트 / L,4,2026-05-09,색감이 은은하고 청바지랑 잘 어울립니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0234,루즈핏 후드 집업,멜란지 / L,4,2026-05-09,루즈핏이라 편하고 캐주얼하게 입기 좋습니다. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0217,하이웨스트 데님 팬츠,진청 / L,4,2026-05-08,허리가 딱 맞아서 밥 먹으면 조금 힘들어요. 여유 있게 가는 게 좋을 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0223,하이웨스트 데님 팬츠,연청 / S,2,2026-05-08,사이즈표 보고 샀는데 생각보다 훨씬 타이트해요.
DEMO-0066,썸머 린넨 셔츠,스카이블루 / M,4,2026-05-08,생각보다 고급스러운 느낌이라 자주 입을 것 같아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0175,세미오버핏 니트 가디건,크림 / M,2,2026-05-08,소매 늘어남이 생각보다 빨라요.
DEMO-0145,세미오버핏 니트 가디건,오트밀 / M,4,2026-05-08,색감이 고급스럽고 사진이랑 거의 비슷했어요. 다음에도 살 것 같아요.
DEMO-0166,세미오버핏 니트 가디건,브라운 / L,3,2026-05-08,부드럽고 예쁜데 보풀이 조금 생길 것 같아요. 데일리로 입기 괜찮습니다.
DEMO-0183,하이웨스트 데님 팬츠,연청 / S,4,2026-05-07,원단이 탄탄해서 핏이 잘 잡혀요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0200,하이웨스트 데님 팬츠,진청 / L,5,2026-05-07,가격대비 데님 퀄리티가 괜찮아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0047,썸머 린넨 셔츠,화이트 / L,3,2026-05-07,통기성이 좋아서 더운 날에도 답답하지 않았어요. 데일리로 입기 괜찮습니다.
DEMO-0008,데일리 와이드 슬랙스,블랙 / M,5,2026-05-07,비싸긴 해도 핏이 좋아서 돈값은 하는 것 같아요. 데일리로 입기 괜찮습니다.
DEMO-0033,데일리 와이드 슬랙스,블랙 / M,3,2026-05-07,원단은 좋은데 생각보다 통이 넓어서 호불호 있을 듯해요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0167,세미오버핏 니트 가디건,크림 / M,5,2026-05-06,핏은 마음에 드는데 세탁 후 살짝 늘어난 느낌이 있어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0287,베이직 롱 원피스,블랙 / M,3,2026-05-06,가격대비 만족합니다. 출근룩으로 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0010,데일리 와이드 슬랙스,블랙 / M,4,2026-05-06,와이드핏인데 너무 부해 보이지 않아서 마음에 들어요. 포장은 깔끔했습니다.
DEMO-0038,데일리 와이드 슬랙스,베이지 / M,2,2026-05-06,허리가 많이 커서 흘러내려요. 사이즈 선택이 어려웠습니다.
DEMO-0335,경량 숏패딩,블랙 / L,5,2026-05-06,부해 보이지 않고 짧은 기장이 예뻐요. 포장은 깔끔했습니다.
DEMO-0190,하이웨스트 데님 팬츠,진청 / L,5,2026-05-05,가격대비 데님 퀄리티가 괜찮아요. 상세페이지를 꼭 보고 사세요.
DEMO-0188,하이웨스트 데님 팬츠,중청 / M,5,2026-05-05,원단이 탄탄해서 핏이 잘 잡혀요. 배송은 빨랐어요.
